id;product_id;consumer_id;seller_id;description;status
1;48469;32217;74058;reboot synthesize holistic;Malaysian Ringgit Convertible Marks
2;69947;20742;55341;Legacy;Berkshire target
3;77913;49948;96360;virtual Salad;open-source Outdoors
4;47168;59476;40656;synergize;Legacy Rial Omani
5;47723;55341;81431;Cotton hack;Path
6;95773;92332;54519;deposit;solid state
7;12713;38593;84224;Pound Sterling;neutral Auto Loan Account Awesome
8;45175;30351;49428;tan;Corners
9;28537;90448;36873;Brand;Indian Rupee Ngultrum solid state
10;73672;4373;67766;Lead Cambridgeshire Dam;Shoes Personal Loan Account
